Epoch, Training Loss, Validation Loss
1, 0.1302, 0.1294
2, 0.1283, 0.1290
3, 0.1287, 0.1285
4, 0.1270, 0.1300
5, 0.1275, 0.1269
6, 0.1268, 0.1313
7, 0.1274, 0.1307
8, 0.1273, 0.1306
9, 0.1272, 0.1309
10, 0.1234, 0.1261
11, 0.1235, 0.1235
12, 0.1233, 0.1221
13, 0.1233, 0.1217
14, 0.1230, 0.1237
15, 0.1216, 0.1215
16, 0.1220, 0.1213
17, 0.1218, 0.1247
18, 0.1218, 0.1235
19, 0.1213, 0.1228
20, 0.1203, 0.1228
21, 0.1214, 0.1231
22, 0.1219, 0.1208
23, 0.1220, 0.1222
24, 0.1215, 0.1219
25, 0.1220, 0.1238
